dialogue_id,window_size,prediction,label,prompt_type,model
229,1,neutral,neutral,least_to_most,gemini
229,3,joy,neutral,least_to_most,gemini
229,5,neutral,neutral,least_to_most,gemini
51,1,neutral,neutral,least_to_most,gemini
51,3,neutral,neutral,least_to_most,gemini
51,5,anger,anger,least_to_most,gemini
51,7,anger,anger,least_to_most,gemini
51,9,sadness,anger,least_to_most,gemini
51,11,anger,anger,least_to_most,gemini
564,1,joy,joy,least_to_most,gemini
564,3,joy,joy,least_to_most,gemini
564,5,neutral,neutral,least_to_most,gemini
564,7,fear,fear,least_to_most,gemini
564,9,neutral,neutral,least_to_most,gemini
564,11,neutral,surprise,least_to_most,gemini
502,1,joy,joy,least_to_most,gemini
502,3,fear,joy,least_to_most,gemini
458,1,surprise,surprise,least_to_most,gemini
286,1,neutral,neutral,least_to_most,gemini
286,3,neutral,neutral,least_to_most,gemini
