Table,Window_Size,Best_Accuracy,Accuracy_Source,Best_Macro_F1,F1_Source
gemma_dailydialog,1.0,0.6405090137857901,gemma_least_to_most_dailydialog_results,0.389246240740937,gemma_zero_shot_dailydialog_results
gemma_dailydialog,3.0,0.6532343584305408,gemma_2_shot_structured_lemmatized_dailydialog_results,0.3954732650143618,gemma_zero_shot_dailydialog_results
gemma_dailydialog,5.0,0.6871686108165429,gemma_2_shot_structured_lemmatized_dailydialog_results,0.3834662294834157,gemma_2_shot_dailydialog_results
gemma_dailydialog,7.0,0.6977730646871686,gemma_2_shot_structured_lemmatized_dailydialog_results,0.4117675024649801,gemma_2_shot_lemmatized_dailydialog_results
gemma_dailydialog,9.0,0.6755037115588547,gemma_zero_shot_lemmatized_dailydialog_results,0.4268362371032014,gemma_2_shot_dailydialog_results
gemma_dailydialog,11.0,0.6861081654294804,gemma_2_shot_structured_lemmatized_dailydialog_results,0.4473695701680153,gemma_2_shot_lemmatized_dailydialog_results
gemma_meld,1.0,0.5944309927360775,gemma_2_shot_lemmatized_results,0.4434764690427489,gemma_2_shot_results
gemma_meld,3.0,0.5928473177441541,gemma_2_shot_lemmatized_results,0.458843201120684,gemma_2_shot_lemmatized_results
gemma_meld,5.0,0.576271186440678,gemma_zero_shot_lemmatized_results,0.4465315864062505,gemma_2_shot_lemmatized_results
gemma_meld,7.0,0.5786924939467313,gemma_zero_shot_results,0.4416774090945072,gemma_2_shot_results
gemma_meld,9.0,0.580568720379147,gemma_2_shot_lemmatized_results,0.4902921740956061,gemma_2_shot_lemmatized_results
gemma_meld,11.0,0.572639225181598,gemma_zero_shot_results,0.4340093698482778,gemma_2_shot_results
qwen_dailydialog,1.0,0.7020148462354189,qwen_zero_shot_structured_dailydialog_results,0.4108205250924676,qwen_least_to_most_structured_lemmatized_dailydialog_results
qwen_dailydialog,3.0,0.7104984093319194,qwen_zero_shot_lemmatized_dailydialog_results,0.3585064836353309,qwen_zero_shot_structured_lemmatized_dailydialog_results
qwen_dailydialog,5.0,0.7083775185577943,qwen_zero_shot_structured_lemmatized_dailydialog_results,0.3736371365870776,qwen_zero_shot_structured_lemmatized_dailydialog_results
qwen_dailydialog,7.0,0.7094379639448568,qwen_zero_shot_structured_lemmatized_dailydialog_results,0.3777529033362072,qwen_zero_shot_structured_lemmatized_dailydialog_results
qwen_dailydialog,9.0,0.6924708377518558,qwen_zero_shot_lemmatized_dailydialog_results,0.395327734450236,qwen_least_to_most_structured_dailydialog_results
qwen_dailydialog,11.0,0.6935312831389183,qwen_zero_shot_lemmatized_dailydialog_results,0.3764107934089574,qwen_zero_shot_structured_lemmatized_dailydialog_results
qwen_meld,1.0,0.5677966101694916,qwen_least_to_most_structured_results,0.3735982249707307,qwen_least_to_most_structured_results
qwen_meld,3.0,0.5405777166437414,qwen_2_shot_results,0.368299082734507,qwen_zero_shot_structured_results
qwen_meld,5.0,0.5478806907378336,qwen_2_shot_structured_lemmatized_results,0.3589001821210961,qwen_zero_shot_structured_results
qwen_meld,7.0,0.543233082706767,qwen_2_shot_structured_lemmatized_results,0.3743277089325709,qwen_least_to_most_structured_lemmatized_results
qwen_meld,9.0,0.5387409200968523,qwen_zero_shot_structured_lemmatized_results,0.3611210924077022,qwen_zero_shot_structured_lemmatized_results
qwen_meld,11.0,0.5375302663438256,qwen_zero_shot_structured_lemmatized_results,0.3563366071727622,qwen_zero_shot_structured_lemmatized_results
